Project Name,Package Name,Type Name,LCOM1,LCOM2,LCOM3,LCOM4,LCOM5,YALCOM
java,org.springframework.samples.petclinic.model,BaseEntity,0.0,0.0,1.0,1.0,-0.0,0.0
java,org.springframework.samples.petclinic.model,NamedEntity,2.0,1.0,2.0,1.0,0.5,0.0
java,org.springframework.samples.petclinic.model,Person,4.0,2.0,2.0,2.0,0.6666666666666666,0.5
java,org.springframework.samples.petclinic.vet,VetController,7.0,4.0,3.0,1.0,0.5,0.0
java,org.springframework.samples.petclinic.vet,Vets,0.0,0.0,1.0,1.0,0.0,0.0
java,org.springframework.samples.petclinic.vet,Specialty,0.0,0.0,0.0,0.0,0.0,-1.0
java,org.springframework.samples.petclinic.vet,Vet,6.0,6.0,4.0,1.0,1.0,0.0
java,org.springframework.samples.petclinic.vet,VetRepository,1.0,0.0,2.0,2.0,0.0,-1.0
java,org.springframework.samples.petclinic,PetClinicRuntimeHints,0.0,0.0,1.0,1.0,0.0,0.0
java,org.springframework.samples.petclinic,PetClinicApplication,0.0,0.0,1.0,1.0,0.0,0.0
java,org.springframework.samples.petclinic.system,CacheConfiguration,1.0,0.0,2.0,2.0,0.0,1.0
java,org.springframework.samples.petclinic.system,CrashController,0.0,0.0,1.0,1.0,0.0,0.0
java,org.springframework.samples.petclinic.system,WelcomeController,0.0,0.0,1.0,1.0,0.0,0.0
java,org.springframework.samples.petclinic.owner,PetTypeFormatter,2.0,1.0,2.0,2.0,0.5,0.6666666666666666
java,org.springframework.samples.petclinic.owner,PetController,40.0,25.0,6.0,5.0,0.6,0.2727272727272727
java,org.springframework.samples.petclinic.owner,VisitController,7.0,4.0,3.0,3.0,0.5,0.6
java,org.springframework.samples.petclinic.owner,PetValidator,1.0,0.0,2.0,2.0,1.0,1.0
java,org.springframework.samples.petclinic.owner,Owner,69.0,60.0,7.0,2.0,0.875,0.15384615384615385
java,org.springframework.samples.petclinic.owner,PetType,0.0,0.0,0.0,0.0,0.0,-1.0
java,org.springframework.samples.petclinic.owner,Visit,6.0,2.0,2.0,2.0,0.625,0.4
java,org.springframework.samples.petclinic.owner,OwnerController,51.0,36.0,7.0,5.0,0.6363636363636364,0.25
java,org.springframework.samples.petclinic.owner,Pet,13.0,11.0,4.0,3.0,0.8666666666666666,0.5
java,org.springframework.samples.petclinic.owner,OwnerRepository,6.0,0.0,4.0,4.0,0.0,-1.0
